Extract Name	Comment [TCGA Barcode]	Comment [is tumor]	Material Type	Annotation REF	Comment [TCGA Genome Reference]	Protocol REF	Parameter Value [Vendor]	Parameter Value [Catalog Name]	Parameter Value [Catalog Number]	Protocol REF	Comment [Derived Data File REF]	Comment [TCGA CGHub ID]	Comment [TCGA Include for Analysis]	Protocol REF	Derived Data File	Comment [TCGA Include for Analysis]	Comment [TCGA Data Type]	Comment [TCGA Data Level]	Comment [TCGA Archive Name]	Protocol REF	Derived Data File	Comment [TCGA Spec Version]	Comment [TCGA Include for Analysis]	Comment [TCGA Data Type]	Comment [TCGA Data Level]	Comment [TCGA Archive Name]
84504382-2f05-4a30-82a6-8f60599abe40	TCGA-2F-A9KW-01A-11D-A38G-08	yes	DNA	->	hg19	->	->	->	->	->	C500.TCGA-2F-A9KW-01A-11D-A38G-08.2.bam	61e45b5e-806e-4bf0-83ab-95f34e04c2ba	yes	bcgsc.ca:somatic_variant_detection:IlluminaHiSeq_DNASeq:01	bcgsc.ca.TCGA-2F-A9KW.bcgsc.ca.snv.vcf	yes	Mutations	Level 2	bcgsc.ca_BLCA.IlluminaHiSeq_DNASeq_automated.Level_2.1.0.0	bcgsc.ca:vcf2maf:IlluminaHiSeq_DNASeq:01	bcgsc.ca_BLCA.IlluminaHiSeq_DNASeq.1.somatic.maf	2.3	yes	Mutations	Level 2	bcgsc.ca_BLCA.IlluminaHiSeq_DNASeq_automated.Level_2.1.0.0
84504382-2f05-4a30-82a6-8f60599abe40	TCGA-2F-A9KW-01A-11D-A38G-08	yes	DNA	->	hg19	->	->	->	->	->	C500.TCGA-2F-A9KW-01A-11D-A38G-08.2.bam	61e45b5e-806e-4bf0-83ab-95f34e04c2ba	yes	bcgsc.ca:somatic_variant_detection:IlluminaHiSeq_DNASeq:01	bcgsc.ca.TCGA-2F-A9KW.bcgsc.ca.indel.vcf	yes	Mutations	Level 2	bcgsc.ca_BLCA.IlluminaHiSeq_DNASeq_automated.Level_2.1.0.0	bcgsc.ca:vcf2maf:IlluminaHiSeq_DNASeq:01	bcgsc.ca_BLCA.IlluminaHiSeq_DNASeq.1.somatic.maf	2.3	yes	Mutations	Level 2	bcgsc.ca_BLCA.IlluminaHiSeq_DNASeq_automated.Level_2.1.0.0
17d7bb1b-b610-4c13-a8e6-116a705e935d	TCGA-4Z-AA7M-01A-11D-A391-08	yes	DNA	->	hg19	->	->	->	->	->	C500.TCGA-4Z-AA7M-01A-11D-A391-08.1.bam	05d3e21a-bd8e-45fe-b313-4ddca9cdc4f7	yes	bcgsc.ca:somatic_variant_detection:IlluminaHiSeq_DNASeq:01	bcgsc.ca.TCGA-4Z-AA7M.bcgsc.ca.snv.vcf	yes	Mutations	Level 2	bcgsc.ca_BLCA.IlluminaHiSeq_DNASeq_automated.Level_2.1.0.0	bcgsc.ca:vcf2maf:IlluminaHiSeq_DNASeq:01	bcgsc.ca_BLCA.IlluminaHiSeq_DNASeq.1.somatic.maf	2.3	yes	Mutations	Level 2	bcgsc.ca_BLCA.IlluminaHiSeq_DNASeq_automated.Level_2.1.0.0
17d7bb1b-b610-4c13-a8e6-116a705e935d	TCGA-4Z-AA7M-01A-11D-A391-08	yes	DNA	->	hg19	->	->	->	->	->	C500.TCGA-4Z-AA7M-01A-11D-A391-08.1.bam	05d3e21a-bd8e-45fe-b313-4ddca9cdc4f7	yes	bcgsc.ca:somatic_variant_detection:IlluminaHiSeq_DNASeq:01	bcgsc.ca.TCGA-4Z-AA7M.bcgsc.ca.indel.vcf	yes	Mutations	Level 2	bcgsc.ca_BLCA.IlluminaHiSeq_DNASeq_automated.Level_2.1.0.0	bcgsc.ca:vcf2maf:IlluminaHiSeq_DNASeq:01	bcgsc.ca_BLCA.IlluminaHiSeq_DNASeq.1.somatic.maf	2.3	yes	Mutations	Level 2	bcgsc.ca_BLCA.IlluminaHiSeq_DNASeq_automated.Level_2.1.0.0
15111ff7-71fb-4710-a5d5-207a9b2a4f11	TCGA-4Z-AA7N-01A-11D-A391-08	yes	DNA	->	hg19	->	->	->	->	->	C500.TCGA-4Z-AA7N-01A-11D-A391-08.1.bam	26a03f1f-f4e2-4dd5-a8b0-b8cdea2e0b55	yes	bcgsc.ca:somatic_variant_detection:IlluminaHiSeq_DNASeq:01	bcgsc.ca.TCGA-4Z-AA7N.bcgsc.ca.snv.vcf	yes	Mutations	Level 2	bcgsc.ca_BLCA.IlluminaHiSeq_DNASeq_automated.Level_2.1.0.0	bcgsc.ca:vcf2maf:IlluminaHiSeq_DNASeq:01	bcgsc.ca_BLCA.IlluminaHiSeq_DNASeq.1.somatic.maf	2.3	yes	Mutations	Level 2	bcgsc.ca_BLCA.IlluminaHiSeq_DNASeq_automated.Level_2.1.0.0
15111ff7-71fb-4710-a5d5-207a9b2a4f11	TCGA-4Z-AA7N-01A-11D-A391-08	yes	DNA	->	hg19	->	->	->	->	->	C500.TCGA-4Z-AA7N-01A-11D-A391-08.1.bam	26a03f1f-f4e2-4dd5-a8b0-b8cdea2e0b55	yes	bcgsc.ca:somatic_variant_detection:IlluminaHiSeq_DNASeq:01	bcgsc.ca.TCGA-4Z-AA7N.bcgsc.ca.indel.vcf	yes	Mutations	Level 2	bcgsc.ca_BLCA.IlluminaHiSeq_DNASeq_automated.Level_2.1.0.0	bcgsc.ca:vcf2maf:IlluminaHiSeq_DNASeq:01	bcgsc.ca_BLCA.IlluminaHiSeq_DNASeq.1.somatic.maf	2.3	yes	Mutations	Level 2	bcgsc.ca_BLCA.IlluminaHiSeq_DNASeq_automated.Level_2.1.0.0
b7629a69-ed35-496d-9849-442b33294e82	TCGA-4Z-AA7O-01A-31D-A391-08	yes	DNA	->	hg19	->	->	->	->	->	C500.TCGA-4Z-AA7O-01A-31D-A391-08.1.bam	6b9e2f4e-986f-4fe3-9466-f5fae2ba14ae	yes	bcgsc.ca:somatic_variant_detection:IlluminaHiSeq_DNASeq:01	bcgsc.ca.TCGA-4Z-AA7O.bcgsc.ca.snv.vcf	yes	Mutations	Level 2	bcgsc.ca_BLCA.IlluminaHiSeq_DNASeq_automated.Level_2.1.0.0	bcgsc.ca:vcf2maf:IlluminaHiSeq_DNASeq:01	bcgsc.ca_BLCA.IlluminaHiSeq_DNASeq.1.somatic.maf	2.3	yes	Mutations	Level 2	bcgsc.ca_BLCA.IlluminaHiSeq_DNASeq_automated.Level_2.1.0.0
b7629a69-ed35-496d-9849-442b33294e82	TCGA-4Z-AA7O-01A-31D-A391-08	yes	DNA	->	hg19	->	->	->	->	->	C500.TCGA-4Z-AA7O-01A-31D-A391-08.1.bam	6b9e2f4e-986f-4fe3-9466-f5fae2ba14ae	yes	bcgsc.ca:somatic_variant_detection:IlluminaHiSeq_DNASeq:01	bcgsc.ca.TCGA-4Z-AA7O.bcgsc.ca.indel.vcf	yes	Mutations	Level 2	bcgsc.ca_BLCA.IlluminaHiSeq_DNASeq_automated.Level_2.1.0.0	bcgsc.ca:vcf2maf:IlluminaHiSeq_DNASeq:01	bcgsc.ca_BLCA.IlluminaHiSeq_DNASeq.1.somatic.maf	2.3	yes	Mutations	Level 2	bcgsc.ca_BLCA.IlluminaHiSeq_DNASeq_automated.Level_2.1.0.0
8df6d5fd-00b4-4f72-9cd0-74a214d33fec	TCGA-4Z-AA7Q-01A-11D-A391-08	yes	DNA	->	hg19	->	->	->	->	->	C500.TCGA-4Z-AA7Q-01A-11D-A391-08.1.bam	1451adb6-cf32-4bfb-8364-7fd0d197775f	yes	bcgsc.ca:somatic_variant_detection:IlluminaHiSeq_DNASeq:01	bcgsc.ca.TCGA-4Z-AA7Q.bcgsc.ca.snv.vcf	yes	Mutations	Level 2	bcgsc.ca_BLCA.IlluminaHiSeq_DNASeq_automated.Level_2.1.0.0	bcgsc.ca:vcf2maf:IlluminaHiSeq_DNASeq:01	bcgsc.ca_BLCA.IlluminaHiSeq_DNASeq.1.somatic.maf	2.3	yes	Mutations	Level 2	bcgsc.ca_BLCA.IlluminaHiSeq_DNASeq_automated.Level_2.1.0.0
8df6d5fd-00b4-4f72-9cd0-74a214d33fec	TCGA-4Z-AA7Q-01A-11D-A391-08	yes	DNA	->	hg19	->	->	->	->	->	C500.TCGA-4Z-AA7Q-01A-11D-A391-08.1.bam	1451adb6-cf32-4bfb-8364-7fd0d197775f	yes	bcgsc.ca:somatic_variant_detection:IlluminaHiSeq_DNASeq:01	bcgsc.ca.TCGA-4Z-AA7Q.bcgsc.ca.indel.vcf	yes	Mutations	Level 2	bcgsc.ca_BLCA.IlluminaHiSeq_DNASeq_automated.Level_2.1.0.0	bcgsc.ca:vcf2maf:IlluminaHiSeq_DNASeq:01	bcgsc.ca_BLCA.IlluminaHiSeq_DNASeq.1.somatic.maf	2.3	yes	Mutations	Level 2	bcgsc.ca_BLCA.IlluminaHiSeq_DNASeq_automated.Level_2.1.0.0
8e83341c-3358-45ce-94d0-c5a7198ef8df	TCGA-4Z-AA7R-01A-11D-A391-08	yes	DNA	->	hg19	->	->	->	->	->	C500.TCGA-4Z-AA7R-01A-11D-A391-08.1.bam	1b1d5874-e899-4da5-b82e-89a329b643d8	yes	bcgsc.ca:somatic_variant_detection:IlluminaHiSeq_DNASeq:01	bcgsc.ca.TCGA-4Z-AA7R.bcgsc.ca.snv.vcf	yes	Mutations	Level 2	bcgsc.ca_BLCA.IlluminaHiSeq_DNASeq_automated.Level_2.1.0.0	bcgsc.ca:vcf2maf:IlluminaHiSeq_DNASeq:01	bcgsc.ca_BLCA.IlluminaHiSeq_DNASeq.1.somatic.maf	2.3	yes	Mutations	Level 2	bcgsc.ca_BLCA.IlluminaHiSeq_DNASeq_automated.Level_2.1.0.0
8e83341c-3358-45ce-94d0-c5a7198ef8df	TCGA-4Z-AA7R-01A-11D-A391-08	yes	DNA	->	hg19	->	->	->	->	->	C500.TCGA-4Z-AA7R-01A-11D-A391-08.1.bam	1b1d5874-e899-4da5-b82e-89a329b643d8	yes	bcgsc.ca:somatic_variant_detection:IlluminaHiSeq_DNASeq:01	bcgsc.ca.TCGA-4Z-AA7R.bcgsc.ca.indel.vcf	yes	Mutations	Level 2	bcgsc.ca_BLCA.IlluminaHiSeq_DNASeq_automated.Level_2.1.0.0	bcgsc.ca:vcf2maf:IlluminaHiSeq_DNASeq:01	bcgsc.ca_BLCA.IlluminaHiSeq_DNASeq.1.somatic.maf	2.3	yes	Mutations	Level 2	bcgsc.ca_BLCA.IlluminaHiSeq_DNASeq_automated.Level_2.1.0.0
98111e40-090b-4781-ac04-2b121d138da9	TCGA-4Z-AA7S-01A-11D-A391-08	yes	DNA	->	hg19	->	->	->	->	->	C500.TCGA-4Z-AA7S-01A-11D-A391-08.1.bam	a2607ec1-e8ec-4bc9-a5fd-7a27afda2367	yes	bcgsc.ca:somatic_variant_detection:IlluminaHiSeq_DNASeq:01	bcgsc.ca.TCGA-4Z-AA7S.bcgsc.ca.snv.vcf	yes	Mutations	Level 2	bcgsc.ca_BLCA.IlluminaHiSeq_DNASeq_automated.Level_2.1.0.0	bcgsc.ca:vcf2maf:IlluminaHiSeq_DNASeq:01	bcgsc.ca_BLCA.IlluminaHiSeq_DNASeq.1.somatic.maf	2.3	yes	Mutations	Level 2	bcgsc.ca_BLCA.IlluminaHiSeq_DNASeq_automated.Level_2.1.0.0
98111e40-090b-4781-ac04-2b121d138da9	TCGA-4Z-AA7S-01A-11D-A391-08	yes	DNA	->	hg19	->	->	->	->	->	C500.TCGA-4Z-AA7S-01A-11D-A391-08.1.bam	a2607ec1-e8ec-4bc9-a5fd-7a27afda2367	yes	bcgsc.ca:somatic_variant_detection:IlluminaHiSeq_DNASeq:01	bcgsc.ca.TCGA-4Z-AA7S.bcgsc.ca.indel.vcf	yes	Mutations	Level 2	bcgsc.ca_BLCA.IlluminaHiSeq_DNASeq_automated.Level_2.1.0.0	bcgsc.ca:vcf2maf:IlluminaHiSeq_DNASeq:01	bcgsc.ca_BLCA.IlluminaHiSeq_DNASeq.1.somatic.maf	2.3	yes	Mutations	Level 2	bcgsc.ca_BLCA.IlluminaHiSeq_DNASeq_automated.Level_2.1.0.0
fee95efc-a6c9-4c81-bfdf-7faa51f4fae9	TCGA-4Z-AA7W-01A-11D-A391-08	yes	DNA	->	hg19	->	->	->	->	->	C500.TCGA-4Z-AA7W-01A-11D-A391-08.1.bam	cce12ad8-f8be-47fa-9658-0a5eb33f63fb	yes	bcgsc.ca:somatic_variant_detection:IlluminaHiSeq_DNASeq:01	bcgsc.ca.TCGA-4Z-AA7W.bcgsc.ca.snv.vcf	yes	Mutations	Level 2	bcgsc.ca_BLCA.IlluminaHiSeq_DNASeq_automated.Level_2.1.0.0	bcgsc.ca:vcf2maf:IlluminaHiSeq_DNASeq:01	bcgsc.ca_BLCA.IlluminaHiSeq_DNASeq.1.somatic.maf	2.3	yes	Mutations	Level 2	bcgsc.ca_BLCA.IlluminaHiSeq_DNASeq_automated.Level_2.1.0.0
fee95efc-a6c9-4c81-bfdf-7faa51f4fae9	TCGA-4Z-AA7W-01A-11D-A391-08	yes	DNA	->	hg19	->	->	->	->	->	C500.TCGA-4Z-AA7W-01A-11D-A391-08.1.bam	cce12ad8-f8be-47fa-9658-0a5eb33f63fb	yes	bcgsc.ca:somatic_variant_detection:IlluminaHiSeq_DNASeq:01	bcgsc.ca.TCGA-4Z-AA7W.bcgsc.ca.indel.vcf	yes	Mutations	Level 2	bcgsc.ca_BLCA.IlluminaHiSeq_DNASeq_automated.Level_2.1.0.0	bcgsc.ca:vcf2maf:IlluminaHiSeq_DNASeq:01	bcgsc.ca_BLCA.IlluminaHiSeq_DNASeq.1.somatic.maf	2.3	yes	Mutations	Level 2	bcgsc.ca_BLCA.IlluminaHiSeq_DNASeq_automated.Level_2.1.0.0
6a908014-c2cf-4ff1-b250-3ef82312917a	TCGA-4Z-AA7Y-01A-11D-A391-08	yes	DNA	->	hg19	->	->	->	->	->	C500.TCGA-4Z-AA7Y-01A-11D-A391-08.1.bam	4804cf5c-822d-4bb5-a6c2-b79fa03b035d	yes	bcgsc.ca:somatic_variant_detection:IlluminaHiSeq_DNASeq:01	bcgsc.ca.TCGA-4Z-AA7Y.bcgsc.ca.snv.vcf	yes	Mutations	Level 2	bcgsc.ca_BLCA.IlluminaHiSeq_DNASeq_automated.Level_2.1.0.0	bcgsc.ca:vcf2maf:IlluminaHiSeq_DNASeq:01	bcgsc.ca_BLCA.IlluminaHiSeq_DNASeq.1.somatic.maf	2.3	yes	Mutations	Level 2	bcgsc.ca_BLCA.IlluminaHiSeq_DNASeq_automated.Level_2.1.0.0
6a908014-c2cf-4ff1-b250-3ef82312917a	TCGA-4Z-AA7Y-01A-11D-A391-08	yes	DNA	->	hg19	->	->	->	->	->	C500.TCGA-4Z-AA7Y-01A-11D-A391-08.1.bam	4804cf5c-822d-4bb5-a6c2-b79fa03b035d	yes	bcgsc.ca:somatic_variant_detection:IlluminaHiSeq_DNASeq:01	bcgsc.ca.TCGA-4Z-AA7Y.bcgsc.ca.indel.vcf	yes	Mutations	Level 2	bcgsc.ca_BLCA.IlluminaHiSeq_DNASeq_automated.Level_2.1.0.0	bcgsc.ca:vcf2maf:IlluminaHiSeq_DNASeq:01	bcgsc.ca_BLCA.IlluminaHiSeq_DNASeq.1.somatic.maf	2.3	yes	Mutations	Level 2	bcgsc.ca_BLCA.IlluminaHiSeq_DNASeq_automated.Level_2.1.0.0
18f520c7-c8c6-42ea-a103-64bed0e002f2	TCGA-4Z-AA80-01A-11D-A391-08	yes	DNA	->	hg19	->	->	->	->	->	C500.TCGA-4Z-AA80-01A-11D-A391-08.1.bam	b7410ee1-043e-41a2-83a1-e967d754bda5	yes	bcgsc.ca:somatic_variant_detection:IlluminaHiSeq_DNASeq:01	bcgsc.ca.TCGA-4Z-AA80.bcgsc.ca.snv.vcf	yes	Mutations	Level 2	bcgsc.ca_BLCA.IlluminaHiSeq_DNASeq_automated.Level_2.1.0.0	bcgsc.ca:vcf2maf:IlluminaHiSeq_DNASeq:01	bcgsc.ca_BLCA.IlluminaHiSeq_DNASeq.1.somatic.maf	2.3	yes	Mutations	Level 2	bcgsc.ca_BLCA.IlluminaHiSeq_DNASeq_automated.Level_2.1.0.0
18f520c7-c8c6-42ea-a103-64bed0e002f2	TCGA-4Z-AA80-01A-11D-A391-08	yes	DNA	->	hg19	->	->	->	->	->	C500.TCGA-4Z-AA80-01A-11D-A391-08.1.bam	b7410ee1-043e-41a2-83a1-e967d754bda5	yes	bcgsc.ca:somatic_variant_detection:IlluminaHiSeq_DNASeq:01	bcgsc.ca.TCGA-4Z-AA80.bcgsc.ca.indel.vcf	yes	Mutations	Level 2	bcgsc.ca_BLCA.IlluminaHiSeq_DNASeq_automated.Level_2.1.0.0	bcgsc.ca:vcf2maf:IlluminaHiSeq_DNASeq:01	bcgsc.ca_BLCA.IlluminaHiSeq_DNASeq.1.somatic.maf	2.3	yes	Mutations	Level 2	bcgsc.ca_BLCA.IlluminaHiSeq_DNASeq_automated.Level_2.1.0.0
08005e15-eadd-4b8c-8757-668c4347719f	TCGA-4Z-AA81-01A-11D-A391-08	yes	DNA	->	hg19	->	->	->	->	->	C500.TCGA-4Z-AA81-01A-11D-A391-08.1.bam	dc84dcc3-739d-4a4e-850c-e38b70c1cf56	yes	bcgsc.ca:somatic_variant_detection:IlluminaHiSeq_DNASeq:01	bcgsc.ca.TCGA-4Z-AA81.bcgsc.ca.snv.vcf	yes	Mutations	Level 2	bcgsc.ca_BLCA.IlluminaHiSeq_DNASeq_automated.Level_2.1.0.0	bcgsc.ca:vcf2maf:IlluminaHiSeq_DNASeq:01	bcgsc.ca_BLCA.IlluminaHiSeq_DNASeq.1.somatic.maf	2.3	yes	Mutations	Level 2	bcgsc.ca_BLCA.IlluminaHiSeq_DNASeq_automated.Level_2.1.0.0
08005e15-eadd-4b8c-8757-668c4347719f	TCGA-4Z-AA81-01A-11D-A391-08	yes	DNA	->	hg19	->	->	->	->	->	C500.TCGA-4Z-AA81-01A-11D-A391-08.1.bam	dc84dcc3-739d-4a4e-850c-e38b70c1cf56	yes	bcgsc.ca:somatic_variant_detection:IlluminaHiSeq_DNASeq:01	bcgsc.ca.TCGA-4Z-AA81.bcgsc.ca.indel.vcf	yes	Mutations	Level 2	bcgsc.ca_BLCA.IlluminaHiSeq_DNASeq_automated.Level_2.1.0.0	bcgsc.ca:vcf2maf:IlluminaHiSeq_DNASeq:01	bcgsc.ca_BLCA.IlluminaHiSeq_DNASeq.1.somatic.maf	2.3	yes	Mutations	Level 2	bcgsc.ca_BLCA.IlluminaHiSeq_DNASeq_automated.Level_2.1.0.0
